流水號,會員編號,條碼,借出日期,歸還日期
1,M00033,C00054,2025-01-02,2025-01-21
2,M00014,C00021,2025-01-04,2025-01-25
3,M00019,C00088,2025-01-04,2025-01-08
4,M00023,C00031,2025-01-05,2025-01-31
5,M00017,C00068,2025-01-05,2025-01-22
6,M00009,C00015,2025-01-06,2025-01-12
7,M00021,C00018,2025-01-06,2025-01-08
8,M00017,C00119,2025-01-07,2025-01-15
9,M00025,C00136,2025-01-09,2025-02-07
10,M00009,C00078,2025-01-09,2025-01-23
11,M00030,C00141,2025-01-11,2025-02-09
12,M00039,C00022,2025-01-11,2025-01-29
13,M00010,C00104,2025-01-11,2025-02-01
14,M00037,C00091,2025-01-12,2025-01-17
15,M00025,C00061,2025-01-14,2025-02-05
16,M00015,C00129,2025-01-14,2025-02-01
17,M00031,C00010,2025-01-18,2025-02-06
18,M00015,C00050,2025-01-18,2025-02-15
19,M00027,C00053,2025-01-18,2025-02-02
20,M00038,C00023,2025-01-19,2025-02-09
21,M00029,C00040,2025-01-20,2025-02-04
22,M00022,C00029,2025-01-20,2025-02-13
23,M00039,C00019,2025-01-21,2025-01-22
24,M00013,C00002,2025-01-21,2025-02-10
25,M00037,C00089,2025-01-22,2025-02-12
26,M00004,C00004,2025-01-22,2025-02-01
27,M00005,C00134,2025-01-24,2025-02-06
28,M00021,C00014,2025-01-25,2025-01-26
29,M00013,C00121,2025-01-28,2025-01-31
30,M00016,C00113,2025-01-28,2025-02-25
31,M00030,C00079,2025-01-29,2025-02-18
32,M00025,C00020,2025-02-02,2025-02-17
33,M00009,C00093,2025-02-03,2025-03-02
34,M00035,C00033,2025-02-04,2025-02-11
35,M00040,C00101,2025-02-04,2025-02-10
36,M00017,C00073,2025-02-04,2025-03-04
37,M00002,C00140,2025-02-05,2025-02-24
38,M00013,C00095,2025-02-05,2025-02-13
39,M00038,C00017,2025-02-06,2025-02-16
40,M00021,C00025,2025-02-06,2025-03-05
41,M00040,C00035,2025-02-06,2025-02-10
42,M00031,C00070,2025-02-06,2025-02-22
43,M00009,C00016,2025-02-06,2025-03-08
44,M00001,C00120,2025-02-07,2025-02-21
45,M00025,C00099,2025-02-09,2025-02-28
46,M00022,C00132,2025-02-09,2025-02-24
47,M00038,C00110,2025-02-09,2025-02-11
48,M00013,C00026,2025-02-10,2025-03-07
49,M00033,C00102,2025-02-12,2025-02-17
50,M00028,C00045,2025-02-13,2025-03-03
51,M00032,C00028,2025-02-13,2025-02-23
52,M00006,C00096,2025-02-13,2025-03-03
53,M00020,C00107,2025-02-17,2025-02-22
54,M00003,C00126,2025-02-17,2025-03-17
55,M00030,C00057,2025-02-18,2025-02-25
56,M00027,C00115,2025-02-19,2025-03-09
57,M00027,C00042,2025-02-19,2025-02-28
58,M00020,C00138,2025-02-20,2025-03-10
59,M00026,C00002,2025-02-20,2025-03-07
60,M00014,C00134,2025-02-21,2025-02-27
61,M00037,C00038,2025-02-21,2025-03-10
62,M00033,C00035,2025-02-22,2025-03-03
63,M00035,C00052,2025-02-23,2025-03-19
64,M00025,C00135,2025-02-23,2025-02-25
65,M00038,C00064,2025-02-25,2025-03-15
66,M00004,C00071,2025-02-25,2025-03-11
67,M00011,C00041,2025-02-27,2025-03-11
68,M00031,C00080,2025-02-27,2025-03-11
69,M00009,C00003,2025-02-27,2025-03-18
70,M00009,C00058,2025-02-28,2025-03-22
71,M00022,C00031,2025-03-02,2025-03-24
72,M00007,C00098,2025-03-04,2025-03-23
73,M00031,C00007,2025-03-04,2025-03-19
74,M00009,C00024,2025-03-05,2025-03-23
75,M00010,C00101,2025-03-06,2025-03-25
76,M00014,C00075,2025-03-06,2025-04-03
77,M00013,C00053,2025-03-08,2025-03-27
78,M00015,C00112,2025-03-09,2025-04-04
79,M00005,C00111,2025-03-11,2025-04-06
80,M00034,C00056,2025-03-11,2025-04-09
81,M00010,C00122,2025-03-12,2025-04-05
82,M00034,C00039,2025-03-12,2025-03-22
83,M00030,C00043,2025-03-12,2025-03-14
84,M00023,C00124,2025-03-13,2025-03-19
85,M00005,C00097,2025-03-13,2025-04-01
86,M00027,C00135,2025-03-13,2025-04-08
87,M00040,C00065,2025-03-14,2025-03-20
88,M00012,C00114,2025-03-15,2025-04-02
89,M00014,C00107,2025-03-15,2025-04-11
90,M00036,C00133,2025-03-16,2025-04-02
91,M00005,C00069,2025-03-16,2025-03-30
92,M00002,C00109,2025-03-16,2025-04-13
93,M00040,C00142,2025-03-17,2025-03-23
94,M00009,C00077,2025-03-17,2025-03-22
95,M00010,C00036,2025-03-18,2025-03-30
96,M00013,C00139,2025-03-18,2025-04-17
97,M00021,C00083,2025-03-19,2025-03-25
98,M00015,C00055,2025-03-20,2025-04-02
99,M00023,C00103,2025-03-21,2025-04-02
100,M00017,C00009,2025-03-21,2025-03-24
101,M00036,C00059,2025-03-21,2025-03-27
102,M00017,C00062,2025-03-22,2025-04-13
103,M00032,C00108,2025-03-22,2025-04-12
104,M00007,C00048,2025-03-22,2025-04-02
105,M00014,C00117,2025-03-22,2025-04-12
106,M00005,C00102,2025-03-23,2025-03-30
107,M00013,C00127,2025-03-24,2025-03-25
108,M00020,C00005,2025-03-24,2025-03-25
109,M00034,C00086,2025-03-25,2025-03-27
110,M00013,C00081,2025-03-26,2025-04-10
111,M00013,C00067,2025-03-26,2025-04-25
112,M00038,C00126,2025-03-27,2025-04-12
113,M00021,C00084,2025-03-27,2025-04-09
114,M00005,C00063,2025-03-28,2025-04-05
